Event,Sentence,Words,Nb_Words,Links,Conditions
1A,Je suis,"Malo,Maë,Eliot.te,Jules,Arthur,Malik,Justine,Elise,Adèle,Rima,Nour,Johnny,Nabil,Ibrahim,Olivier,Pat’,Akahi,Eliane,Marie-Thérèse,Janine,Xavier,Vincent,Bernard,Salomé,Lumi,Adrien,le Grand Schtroumpf,Wissam,Grégoire,Valentin,Jérôme,Ali,Johann,Lucien,Bastien,José,François,Luffy,Naruto,Mikasa,Zinedine,Renaud,Isabelle,Léa,Josiane,Tessa,Jeanne,Ophélie,Nouara,Oksana",3,"2A,2A,2A,2B,2B,2B,2C,2C,2C,2D,2D,2E,2F,2F,2F,2G,2H,2I,2I,2I,2J,2J,2J,2K,2K,2L,2M,2N,2N,2N,2N,2N,2N,2N,2N,2N,2O,2P,2Q,2R,2S,2T,2U1,2U2,2U,2U,2U,2U,2U,2U",
2A,$1A est,"Non-binaire,Lesbien.e,Bisexuel.le",3,"3A,7A,7A",
3A,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"4A,5A,6A",
4A,Changement de nom Front populaire,,,,
5A,Changement de nom RN,,,,
6A,Changement de nom EM,,,,
2B,"Le matin, $1A aime s’acheter","un petit pain,un pain au chocolat,une chocolatine",3,"3B,3B,3B",
3B,"Après son petit déjeuner, $1A vote","blanc,sans conviction,par dépit",3,"4B,5B,5B",
4B,Reconnaissance du vote blanc,,,,
5B,6ème République,,,,
2C,$1A est,"maman,institutrice",3,"3C,3C",
3C,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"4C,9C,10C",
4C,"Ecole entièrement gratuite dès la rentrée
Prof recrutement",,,,
5C,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"6C,7C,8C",
9C,École & enfants RN,,,,
10C,école & enfants EM,,,,
2D,$1A est,Palestinienne,1,3D,
3D,$1A vit,"sous les bombes, en France",2,"4D,5D",
4D,$1A fait partie des … chiffres Palestine.,,,,
5D,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"6D,7D,8D",
6D,Reconnaissance de l’État Palestinien !,,,,
7D,RN & Palestine,,,,
8D,EM & Palestine,,,,
2E,$1A veut,"allumer le feu,avoir l’envie d’avoir envie,ouvrir les portes du pénitencier",3,"3E,3E,3E",
3E,$1A vote,"Sarkozy,Paul Bismuth",2,"4E,4E",
4E,"Si $1A était parmi nous, il voterait Front Populaire.",,,,
2F,$1A est,"professeur de philosophie,prof de maths,prof d’histoire",3,"3F,4F,5F",
2G,$1A c’est,"un flic,un gros con,un agent des forces de l’ordre",3,"3G,3G,3G",
3G,"Quand il circule à pied dans la ville, on peut dire que $1A","patrouille,circule",2,"4G,4G",
4G,"$1A, contre toute attente, il vote","Rassemblement National,Reconquête",2,"5G,5G",
5G,"Mais en fait, si $1A votait pour le","Nouveau Front populaire,Parti animaliste",2,"6G,7G",
6G,Programme conditionnel pour la police,,,,
7G,$1A pourrait prendre soin des gros porcs et des petits chiens mignons. Mais moins bien que s’il avait voté pour le Nouveau Front Populaire. PRORGRAMME ANIMAUX,,,,
2H,$1A est,Kanak,1,3H,
3H,"Le père du grand-père de $1A était un esclave. S’il avait pu, il aurait voté pour","l’indépendance des peuples,l’égalité de toutes et tous,le droit à l’auto-détermination",3,"4H,4H,4H",
4H,"Son ancêtre est mort sans qu’on lui ait reconnu sa liberté. Alors, maintenant $1A vote","l’indépendance des peuples,l’égalité de toutes et tous,le droit à l’auto-détermination",3,"5H,5H,5H",
5H,"Mais d’autres sont venu s’installer, coloniser, dominer et son vote ne vaut plus rien. Le 27 Juillet, si $1A vote","Front populaire,Rassemblement National,En Marche",3,"6H,7H,8H",
6H,"Front Populaire, Kanaky",,,,
7H,RN & Kanaky,,,,
8H,EM & Kanaky,,,,
3F,"Il paraît que la superstructure de la Caverne détermine l’infrastructure de la production des phénomènes. Par conséquent, $1A vote",Nouveau Front populaire,1,,
4F,(a+b)² =,"a+b+2ab²,a²+b²",2,"7F,7F",
5F,"Un chapitre que $1A a toujours aimé enseigner, c’est le chapitre du",Front Populaire,1,6F,
7F,"T’es nul en maths, mais tu peux toujours voter",Front Populaire,1,6F,
6F,Education Front Pop,,,,
2I,$1A a,"58 ans,60 ans,62 ans",3,"3I,4I,5I",
3I,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"6I,7I,8I",
4I,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"9I,10I,11I",
5I,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"12I,13I,14I",
6I,RETRAITE FP 58ans,,,,
7I,RETRAITE RN 58 ans,,,,
8I,RETRAITE EM 58 ans,,,,
9I,RETRAITE FP 60ans,,,,
10I,RETRAITE RN 60 ans,,,,
11I,RETRAITE EM 60 ans,,,,
12I,RETRAITE FP 62ans,,,,
13I,RETRAITE RN 62 ans,,,,
14I,RETRAITE EM 62 ans,,,,
2J,$1A aimerait bien pouvoir s’acheter un troisième,"yacht,jet privé,journal d’extrême droite",3,"3J,3J,3J",
3J,$1A vote,"Rassemblement National,En Marche",2,"4J,5J",
4J,Parce que le RN est le meilleur allié des milliardaires,,,,
5J,Parce qu’En Marche est le parti des milliardaires,,,,
7A,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"8A,9A,10A",
8A,LGBT NFP,,,,
9A,LGBT RN,,,,
10A,LGBT EM,,,,
2K,$1A est,"journaliste,éditorialiste",2,"3K,3K",
3K,"$1A a pas vraiment le droit de le dire, mais en vrai, elle vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"4K,5K,6K",
4K,Média NFP,,,,
5K,"Média RN : privatisation, dissolution du public",,,,
6K,Média EM,,,,
2L,$1A est,"roux,problématique,député",3,3L,
3L,"Du coup, on","va militer sur les autres circos,vote quand même pour le Nouveau Front Populaire,le dégagera plus tard",3,"4L,4L,4L",
4L,"Votez NFP, on s'engueulera plus tard",,,,
2M,$1A ressemble quand même vachement à,"Karl Marx,Schtroumpf à lunettes sans lunettes,Pacôme Thiellement",3,"3M,3M,3M",
3M,$1A et $2M voteraient pour le Nouveau Front Populaire s’ils existaient vraiment !,,,,
2N,$1A est,"locataire d’un 25 m² à 800e/mois,au chômage,au RSA,patron d’une PME,acteur,chanteur,développeur de jeux vidéo,agriculteur,en situation de handicap",3,"33N,44N,44N,66N,7N,7N,99N,100N,111N",
3N,"La moitié du salaire de $1A lui sert à se loger. 
Alors $1A vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"12N,13,14N",
