Event,Sentence,Words,Nb_Words,Links,Conditions
1A,Je suis,"Malo,Maë,Eliot.te,Jules,Arthur,Malik,Justine,Elise,Adèle,Rima,Nour,Johnny,Nabil,Ibrahim,Olivier,Pat’,Akahi,Eliane,Marie-Thérèse,Janine,Xavier,Vincent,Bernard,Salomé,Lumi,Adrien,le Grand Schtroumpf,Wissam,Grégoire,Valentin,Jérôme,Ali,Johann,Lucien,Bastien,José,François,Luffy,Naruto,Mikasa,Zinedine,Renaud,Isabelle,Léa,Josiane,Tessa,Jeanne,Ophélie,Nouara,Oksana",3,"2A,2A,2A,2B,2B,2B,2C,2C,2C,2D,2D,2E,2F,2F,2F,2G,2H,2I,2I,2I,2J,2J,2J,2K,2K,2L,2M,2N,2N,2N,2N,2N,2N,2N,2N,2N,2O,2P,2Q,2R,2S,2T,2U1,2U2,2U,2U,2U,2U,2U,2U",
2A,$1A est,"Non-binaire,Lesbien.e,Bisexuel.le",3,"3A,7A,7A",
3A,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN4A,FIN5A,FIN6A",
FIN4A,Changement de nom Front populaire,,,,
FIN5A,Changement de nom RN,,,,
FIN6A,Changement de nom EM,,,,
2B,"Le matin, $1A aime s’acheter","un petit pain,un pain au chocolat,une chocolatine",3,"3B,3B,3B",
3B,"Après son petit déjeuner, $1A vote","blanc,sans conviction,par dépit",3,"FIN4B,FIN5B,FIN5B",
FIN4B,Reconnaissance du vote blanc,,,,
FIN5B,6ème République,,,,
2C,$1A est,"maman,institutrice",3,"3C,3C",
3C,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN4C,FIN9C,FIN10C",
FIN4C,"Ecole entièrement gratuite dès la rentrée
Prof recrutement",,,,
5C,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"6C,7C,8C",
FIN9C,École & enfants RN,,,,
FIN10C,école & enfants EM,,,,
2D,$1A est,Palestinienne,1,3D,
3D,$1A vit,"sous les bombes, en France",2,"4D,5D",
4D,$1A fait partie des … chiffres Palestine.,,,,
5D,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"6D,FIN7D,FIN8D",
6D,Reconnaissance de l’État Palestinien !,,,,
FIN7D,RN & Palestine,,,,
FIN8D,EM & Palestine,,,,
2E,$1A veut,"allumer le feu,avoir l’envie d’avoir envie,ouvrir les portes du pénitencier",3,"3E,3E,3E",
3E,$1A vote,"Sarkozy,Paul Bismuth",2,"4E,4E",
4E,"Si $1A était parmi nous, il voterait Front Populaire.",,,,
2F,$1A est,"professeur de philosophie,prof de maths,prof d’histoire",3,"3F,4F,5F",
2G,$1A c’est,"un flic,un gros con,un agent des forces de l’ordre",3,"3G,3G,3G",
3G,"Quand il circule à pied dans la ville, on peut dire que $1A","patrouille,circule",2,"4G,4G",
4G,"$1A, contre toute attente, il vote","Rassemblement National,Reconquête",2,"5G,5G",
5G,"Mais en fait, si $1A votait pour le","Nouveau Front populaire,Parti animaliste",2,"FIN6G,FIN7G",
FIN6G,Programme conditionnel pour la police,,,,
FIN7G,$1A pourrait prendre soin des gros porcs et des petits chiens mignons. Mais moins bien que s’il avait voté pour le Nouveau Front Populaire. PRORGRAMME ANIMAUX,,,,
2H,$1A est,Kanak,1,3H,
3H,"Le père du grand-père de $1A était un esclave. S’il avait pu, il aurait voté pour","l’indépendance des peuples,l’égalité de toutes et tous,le droit à l’auto-détermination",3,"4H,4H,4H",
4H,"Son ancêtre est mort sans qu’on lui ait reconnu sa liberté. Alors, maintenant $1A vote","l’indépendance des peuples,l’égalité de toutes et tous,le droit à l’auto-détermination",3,"5H,5H,5H",
5H,"Mais d’autres sont venu s’installer, coloniser, dominer et son vote ne vaut plus rien. Le 27 Juillet, si $1A vote","Front populaire,Rassemblement National,En Marche",3,"FIN6H,FIN7H,FIN8H",
FIN6H,"Front Populaire, Kanaky",,,,
FIN7H,RN & Kanaky,,,,
FIN8H,EM & Kanaky,,,,
3F,"Il paraît que la superstructure de la Caverne détermine l’infrastructure de la production des phénomènes. Par conséquent, $1A vote",Nouveau Front populaire,1,,
4F,(a+b)² =,"a+b+2ab²,a²+b²",2,"7F,7F",
5F,"Un chapitre que $1A a toujours aimé enseigner, c’est le chapitre du",Front Populaire,1,6F,
7F,"T’es nul en maths, mais tu peux toujours voter",Front Populaire,1,6F,
6F,Education Front Pop,,,,
2I,$1A a,"58 ans,60 ans,62 ans",3,"3I,4I,5I",
3I,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN6I,FIN7I,FIN8I",
4I,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN9I,FIN10I,FIN11I",
5I,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN12I,FIN13I,FIN14I",
FIN6I,RETRAITE FP 58ans,,,,
FIN7I,RETRAITE RN 58 ans,,,,
FIN8I,RETRAITE EM 58 ans,,,,
FIN9I,RETRAITE FP 60ans,,,,
FIN10I,RETRAITE RN 60 ans,,,,
FIN11I,RETRAITE EM 60 ans,,,,
FIN12I,RETRAITE FP 62ans,,,,
FIN13I,RETRAITE RN 62 ans,,,,
FIN14I,RETRAITE EM 62 ans,,,,
2J,$1A aimerait bien pouvoir s’acheter un troisième,"yacht,jet privé,journal d’extrême droite",3,"3J,3J,3J",
3J,$1A vote,"Rassemblement National,En Marche",2,"FIN4J,FIN5J",
FIN4J,Parce que le RN est le meilleur allié des milliardaires,,,,
FIN5J,Parce qu’En Marche est le parti des milliardaires,,,,
7A,$1A vote,"Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN8A,FIN9A,FIN10A",
FIN8A,LGBT NFP,,,,
FIN9A,LGBT RN,,,,
FIN10A,LGBT EM,,,,
2K,$1A est,"journaliste,éditorialiste",2,"3K,3K",
3K,"$1A a pas vraiment le droit de le dire, mais en vrai, elle vote","Nouveau Front populaire,Rassemblement National,En Marche",3,"FIN4K,FIN5K,FIN6K",
FIN4K,Média NFP,,,,
FIN5K,"Média RN : privatisation, dissolution du public",,,,
FIN6K,Média EM,,,,
2L,$1A est,"roux,problématique,député",3,3L,
3L,"Du coup, on","va militer sur les autres circos,vote quand même pour le Nouveau Front Populaire,le dégagera plus tard",3,"FIN4L,FIN4L,FIN4L",
FIN4L,"Votez NFP, on s'engueulera plus tard",,,,
2M,$1A ressemble quand même vachement à,"Karl Marx,Schtroumpf à lunettes sans lunettes,Pacôme Thiellement",3,"3M,3M,3M",
3M,$1A et $2M voteraient pour le Nouveau Front Populaire s’ils existaient vraiment !,,,,
